lc,area_km2
,
100,148005451.40604
515,14699339.0023395
510,4177668.1212686
516,1459009.06282403
215,36119.5191353892
115,29354.6618832866
216,18774644.2337814
210,14475860.0029639
511,98647.0535336936
116,31923.5191936735
111,386138.869671851
110,4481667.12358394
507,883586.98351152
407,3881498.16223536
410,4459215.37918303
411,744043.910028048
409,5011763.24730952
416,163023.765538723
405,3665673.54137314
408,5931234.86166079
401,2028083.75326319
403,527065.905769625
500,10153.288182614
400,29221.9721171782
508,130856.5126779
501,64855.9629749174
509,92339.0707493512
404,1615490.0671708
413,208157.244595825
209,904245.417857947
208,168860.069624017
503,1234.83906080032
207,8081459.77537977
201,8825.93269371317
406,45161.3512117472
414,272089.323977014
310,3123446.64538534
309,3456906.58204133
308,2343910.51122149
316,30431.1758520192
505,47911.5873805532
506,15117.7713153974
504,11637.2938038716
415,25379.9861340266
412,4218104.28433173
305,655415.272428235
301,454558.959719675
109,6760293.62844368
304,622466.084534068
311,111572.127350137
312,2672894.20500526
314,468735.130307453
112,2162317.73450527
313,304667.418670849
104,690721.792812202
212,2627783.84199342
302,1525129.13487908
213,148067.36129403
211,36654.1882454299
205,5044.61909745361
108,2661019.58881136
101,2379.17733890877
204,66464.0666112322
206,448113.258715538
102,10675692.7727005
214,58394.1103344167
307,178486.035254537
306,34229.5211831393
113,116451.800082606
105,269104.357703395
512,5792.81865849201
107,44977.7757019115
114,476023.374335077
202,9150.86563353652
106,22361.8691157324
502,18444.1230784849
514,2302.07034793754
103,750.837438857346
513,738.433939705628
