"koppen_modis_code","koppen_modis_name","koppen_orig_modis_name"
101,"Equatorial Evergreen Needleleaf Forests","Tropical Evergreen Needleleaf Forests"
102,"Equatorial Evergreen Broadleaf Forests","Tropical Evergreen Broadleaf Forests"
103,"Equatorial Deciduous Needleleaf Forests","Tropical Deciduous Needleleaf Forests"
104,"Equatorial Deciduous Broadleaf Forests","Tropical Deciduous Broadleaf Forests"
105,"Equatorial Mixed Forests","Tropical Mixed Forests"
106,"Equatorial Closed Shrublands","Tropical Closed Shrublands"
107,"Equatorial Open Shrublands","Tropical Open Shrublands"
108,"Equatorial Woody Savannas","Tropical Woody Savannas"
109,"Equatorial Savannas","Tropical Savannas"
110,"Equatorial Grasslands","Tropical Grasslands"
111,"Equatorial Permanent Wetlands","Tropical Permanent Wetlands"
112,"Equatorial Croplands","Tropical Croplands"
113,"Equatorial Urban and Built-up Lands","Tropical Urban and Built-up Lands"
114,"Equatorial Cropland Natural Vegetation Mosaics","Tropical Cropland Natural Vegetation Mosaics"
115,"Equatorial Permanent Snow and Ice","Tropical Permanent Snow and Ice"
116,"Equatorial Barren","Tropical Barren"
117,"Equatorial Water Bodies","Tropical Water Bodies"
201,"Arid Evergreen Needleleaf Forests","Arid Evergreen Needleleaf Forests"
202,"Arid Evergreen Broadleaf Forests","Arid Evergreen Broadleaf Forests"
203,"Arid Deciduous Needleleaf Forests","Arid Deciduous Needleleaf Forests"
204,"Arid Deciduous Broadleaf Forests","Arid Deciduous Broadleaf Forests"
205,"Arid Mixed Forests","Arid Mixed Forests"
206,"Arid Closed Shrublands","Arid Closed Shrublands"
207,"Arid Open Shrublands","Arid Open Shrublands"
208,"Arid Woody Savannas","Arid Woody Savannas"
209,"Arid Savannas","Arid Savannas"
210,"Arid Grasslands","Arid Grasslands"
211,"Arid Permanent Wetlands","Arid Permanent Wetlands"
212,"Arid Croplands","Arid Croplands"
213,"Arid Urban and Built-up Lands","Arid Urban and Built-up Lands"
214,"Arid Cropland Natural Vegetation Mosaics","Arid Cropland Natural Vegetation Mosaics"
215,"Arid Permanent Snow and Ice","Arid Permanent Snow and Ice"
216,"Arid Barren","Arid Barren"
217,"Arid Water Bodies","Arid Water Bodies"
301,"Temperate Evergreen Needleleaf Forests","Temperate Evergreen Needleleaf Forests"
302,"Temperate Evergreen Broadleaf Forests","Temperate Evergreen Broadleaf Forests"
303,"Temperate Deciduous Needleleaf Forests","Temperate Deciduous Needleleaf Forests"
304,"Temperate Deciduous Broadleaf Forests","Temperate Deciduous Broadleaf Forests"
305,"Temperate Mixed Forests","Temperate Mixed Forests"
306,"Temperate Closed Shrublands","Temperate Closed Shrublands"
307,"Temperate Open Shrublands","Temperate Open Shrublands"
308,"Temperate Woody Savannas","Temperate Woody Savannas"
309,"Temperate Savannas","Temperate Savannas"
310,"Temperate Grasslands","Temperate Grasslands"
311,"Temperate Permanent Wetlands","Temperate Permanent Wetlands"
312,"Temperate Croplands","Temperate Croplands"
313,"Temperate Urban and Built-up Lands","Temperate Urban and Built-up Lands"
314,"Temperate Cropland Natural Vegetation Mosaics","Temperate Cropland Natural Vegetation Mosaics"
315,"Temperate Permanent Snow and Ice","Temperate Permanent Snow and Ice"
316,"Temperate Barren","Temperate Barren"
317,"Temperate Water Bodies","Temperate Water Bodies"
401,"Boreal Evergreen Needleleaf Forests","Cold Evergreen Needleleaf Forests"
402,"Boreal Evergreen Broadleaf Forests","Cold Evergreen Broadleaf Forests"
403,"Boreal Deciduous Needleleaf Forests","Cold Deciduous Needleleaf Forests"
404,"Boreal Deciduous Broadleaf Forests","Cold Deciduous Broadleaf Forests"
405,"Boreal Mixed Forests","Cold Mixed Forests"
406,"Boreal Closed Shrublands","Cold Closed Shrublands"
407,"Boreal Open Shrublands","Cold Open Shrublands"
408,"Boreal Woody Savannas","Cold Woody Savannas"
409,"Boreal Savannas","Cold Savannas"
410,"Boreal Grasslands","Cold Grasslands"
411,"Boreal Permanent Wetlands","Cold Permanent Wetlands"
412,"Boreal Croplands","Cold Croplands"
413,"Boreal Urban and Built-up Lands","Cold Urban and Built-up Lands"
414,"Boreal Cropland Natural Vegetation Mosaics","Cold Cropland Natural Vegetation Mosaics"
415,"Boreal Permanent Snow and Ice","Cold Permanent Snow and Ice"
416,"Boreal Barren","Cold Barren"
417,"Boreal Water Bodies","Cold Water Bodies"
501,"Polar Evergreen Needleleaf Forests","Polar Evergreen Needleleaf Forests"
502,"Polar Evergreen Broadleaf Forests","Polar Evergreen Broadleaf Forests"
503,"Polar Deciduous Needleleaf Forests","Polar Deciduous Needleleaf Forests"
504,"Polar Deciduous Broadleaf Forests","Polar Deciduous Broadleaf Forests"
505,"Polar Mixed Forests","Polar Mixed Forests"
506,"Polar Closed Shrublands","Polar Closed Shrublands"
507,"Polar Open Shrublands","Polar Open Shrublands"
508,"Polar Woody Savannas","Polar Woody Savannas"
509,"Polar Savannas","Polar Savannas"
510,"Polar Grasslands","Polar Grasslands"
511,"Polar Permanent Wetlands","Polar Permanent Wetlands"
512,"Polar Croplands","Polar Croplands"
513,"Polar Urban and Built-up Lands","Polar Urban and Built-up Lands"
514,"Polar Cropland Natural Vegetation Mosaics","Polar Cropland Natural Vegetation Mosaics"
515,"Polar Permanent Snow and Ice","Polar Permanent Snow and Ice"
516,"Polar Barren","Polar Barren"
517,"Polar Water Bodies","Polar Water Bodies"
