lc_kop,vpd_thresh_hpa,sd,millions_of_km2
Arid Croplands,22.728,14.881178228402,2.6355588712427425
Arid Grasslands,11.879,14.6505630607836,14.509854030022828
Arid Open Shrublands,7.593,12.6887491643328,8.08665528898213
Arid Savannas,15.243,16.1845571731478,0.9051075601805237
Arid Woody Savannas,14.939,14.9952037377001,0.16901542409689402
Boreal Croplands,11.119,10.3704573373302,4.226884972533155
Boreal Evergreen Needleleaf Forests,10.863,11.699021245305,2.032067169036373
Boreal Grasslands,10.008,13.1487195127444,4.469456713755497
Boreal Savannas,10.528,7.82306950093225,5.023113677816399
Boreal Woody Savannas,8.037,8.33313098853439,5.943494171718145
Equatorial Cropland Natural Vegetation Mosaics,20.358,14.1475081900661,0.4781276159470072
Equatorial Croplands,21.911,14.532386908876,2.171652641061178
Equatorial Deciduous Broadleaf Forests,16.729,13.1214988752327,0.6931077198105248
Equatorial Evergreen Broadleaf Forests,14.139,13.1204353900633,10.720186995417633
Equatorial Grasslands,20.789,14.8066105072942,4.497388207591063
Equatorial Permanent Wetlands,13.017,10.74346932481,0.38768306385253976
Equatorial Savannas,18.391,13.671101565639,6.78582658818291
Equatorial Woody Savannas,20.285,14.162356701741,2.671922787555919
Temperate Croplands,20.128,13.3809815285227,2.6786170595072325
Temperate Deciduous Broadleaf Forests,5.511,8.8174614615901,0.6241233933190984
Temperate Evergreen Broadleaf Forests,5.564,11.8772460180369,1.5277624609041969
Temperate Evergreen Needleleaf Forests,3.442,9.28907546114913,0.45510753040173735
Temperate Grasslands,10.869,12.4520236063016,3.1264091507523504
Temperate Savannas,11.871,12.7881936526195,3.4638342453133335
Temperate Woody Savannas,9.871,12.0839720862546,2.350775026026712
