lc_name,vpd_thresh_hpa,sd,probability_of_zero
Temperate Evergreen Needleleaf Forests,3.442,9.28907546114913,0.95
Temperate Deciduous Broadleaf Forests,5.511,8.817461461590101,0.95
Temperate Evergreen Broadleaf Forests,5.564,11.877246018036882,0.95
Arid Open Shrublands,7.593,12.688749164332762,0.95
Boreal Woody Savannas,8.037,8.333130988534386,0.95
Temperate Woody Savannas,9.871,12.083972086254644,0.95
Boreal Grasslands,10.008,13.148719512744382,0.95
Boreal Savannas,10.528,7.823069500932253,0.95
Boreal Evergreen Needleleaf Forests,10.863,11.699021245305016,0.95
Temperate Grasslands,10.869,12.452023606301584,0.95
Boreal Croplands,11.119,10.370457337330182,0.95
Temperate Savannas,11.871,12.78819365261947,0.95
Arid Grasslands,11.879,14.650563060783636,0.95
Equatorial Permanent Wetlands,13.017,10.743469324809986,0.95
Equatorial Evergreen Broadleaf Forests,14.139,13.120435390063275,0.95
Arid Woody Savannas,14.939,14.995203737700102,0.95
Arid Savannas,15.243,16.18455717314783,0.95
Equatorial Deciduous Broadleaf Forests,16.729,13.121498875232689,0.95
Equatorial Savannas,18.391,13.671101565639033,0.95
Temperate Croplands,20.128,13.380981528522737,0.95
Equatorial Woody Savannas,20.285,14.16235670174097,0.95
Equatorial Cropland Natural Vegetation Mosaics,20.358,14.147508190066121,0.95
Equatorial Grasslands,20.789,14.80661050729419,0.95
Equatorial Croplands,21.911,14.532386908875957,0.95
Arid Croplands,22.728,14.881178228401993,0.95
