Koppen,percent_afd_night,day_afd_per_op_per_Mkm2,night_afd_per_op_per_Mkm2,mean_frp_per_night_detection,mean_frp_per_day_detection
Equatorial,-0.02 *,-1.04 *,-0.12 *,-0.13 *,-0.29 *
Arid,0.09 *,-0.07 *,0.01 ,0.14 *,0.11 
Temperate,-0.01 ,-0.52 *,-0.06 *,0.02 ,-0.03 
Boreal,0.14 *,-0.04 *,0.01 *,0.2 *,0.13 *
global,0.02 *,-0.59 *,-0.03 *,0.12 *,-0.1 *
