cell,p,beta,n,variable
Equatorial,0.95793842862429,-4.15909006151551e-6,216,percent_afd_night
Arid,2.1931464198064713e-4,2.2228304449664973e-4,216,percent_afd_night
Temperate,0.3215875138655492,1.5329552747678143e-5,216,percent_afd_night
Boreal,3.9172765545924143e-4,5.395913606703114e-4,216,percent_afd_night
Equatorial,0.0038407096966309564,-0.0018001386310001338,216,day_afd_per_op_per_Mkm2
Arid,0.30030209057070517,-1.9992570464976242e-4,216,day_afd_per_op_per_Mkm2
Temperate,0.02490692529034178,-0.001987511906333807,216,day_afd_per_op_per_Mkm2
Boreal,0.51235052753964,-7.057040597849902e-5,216,day_afd_per_op_per_Mkm2
Equatorial,0.012248045370586826,-2.1740615823927643e-4,216,night_afd_per_op_per_Mkm2
Arid,0.7669802409048173,-1.0252413349341239e-5,216,night_afd_per_op_per_Mkm2
Temperate,0.018047787605201867,-1.2775622376439588e-4,216,night_afd_per_op_per_Mkm2
Boreal,0.07164882227104542,2.8430020252691136e-5,216,night_afd_per_op_per_Mkm2
Equatorial,3.853118979675417e-4,-2.961103312115592e-4,216,mean_frp_per_night_detection
Arid,0.029598506703967156,5.135194921669594e-4,216,mean_frp_per_night_detection
Temperate,0.44426347525549,6.611771404024499e-5,216,mean_frp_per_night_detection
Boreal,0.0020763832977086644,6.21010777658816e-4,216,mean_frp_per_night_detection
Equatorial,3.492872991786794e-11,-7.14810694284612e-4,216,mean_frp_per_day_detection
Arid,0.11648066438417792,3.06418738840614e-4,216,mean_frp_per_day_detection
Temperate,3.998873446996773e-4,6.872899699342115e-4,216,mean_frp_per_day_detection
Boreal,0.0195290299098807,7.41781896432281e-4,216,mean_frp_per_day_detection
